ID,code,author,title,subject,publisher,publication Date,format,notes,loaned to,date from,date to
5,901.9,"clark,kenneth",art civilisation;a personal view,civilisation/History,bbc,1980,h/b+wrapper+plastic wrap,,,,
6,501,"bronowski,j",the ascent of man,science/History,bbc,1980,h/b+wrapper+plastic wrap,,,,
7,100,"cameron,jill (editior)",growth of ideas,philosophy/History,macdonald,1965,h/b+wrapper+plastic wrap,huxley/barry/bronowski,,,
8,001.9,"wilding-white,ted",ufo's,extra-terrestrials,usborne,1989,p/b,,,,
12,001.9,"stone,reuben",alien worlds,extra-terrestrials/occult,blitz,1993,h/b+wrapper+plastic wrap,,,,
14,001.9,"brennan,herbie",seriously weird true stories,occult,point,1997,p/b,,,,
16,001.9,"hitching,francis",the world atlas of mysteries,occult,bca,1987,h/b,,,,
25,004.092,"strathern,paul",turing and the computer,information technology,arrow,1997,p/b,the big idea series,,,
27,809,"bradbury,malcolm (ed)/bragg/de bernieres/delaney",the atlas of literature,literature/History/atlases,stewart/tabori/chang,1998,h/b+wrapper,,,,
28,770,"freeman,,john",the complete guide to taking great photographs,Art/photography,sk,1999,p/b,,,,
30,759.6mir,"mink,janis",joan miro,art/painting/spain,taschen,1993,p/b,,,,
32,759.1lic,"hendrickson,janis",roy lichtenstein,Art/painting/america,taschen,2000,p/b,,,,
33,759.947,"duchting,hajo",wassily kandinsky,Art/painting/russia,taschen,2000,p/b,,,,
34,746.3,anon,textiles and interiors,Art/textiles/interiors,quantum,1999,h/b+wrapper,,,,
35,749,anon,twentieth century furniture,furniture,quantum,1999,h/b+wrapper,,,,
36,791,"morley,jacqueline",entertainment,arts and recreation/public performance/cinema,watts,1994,p/b,,,,
37,gcse530,"hynson,colin",machines,science/physics/machines,parragon,2001,h/b,,,,
38,641.3,"tames,richard",food,food,watts,1994,p/b,,,,
40,591,"johnson,jenny",animals,biology/zoology,parragon,1998,h/b,,,,
41,380.5,"davies,eryl",transport,transport,watts,1992,p/b,,,,
43,551.1,"james,ian",planet earth,geology,parragon,2001,h/b,,,,
46,100,"almond,brenda",philosophy,philosophy,penguin,1988,p/b,,,,
49,110,"collis,john stewart",the vision of glory,philosophy/science,penguin,1975,p/b,,,,
51,110,davies.p,the mind of god,philosophy/religion,simon&schuster,1992,h/b+wrapper+plastic wrap,,,,
52,194,"descartes,rene",key philosophical writings,philosophy,wordsworth,1997,p/b,,,,
56,181,"gibran,kahlil",a treasury of kahlil gibran,philosophy,heinemann,1976,h/b,"ed:wolf,martin.l",,,
57,181,"gibran,kahlil",the prophet,philosophy,pan,1980,p/b,,,,
61,193,"nietzsche,friedrich",thus spake zarathustra,philosophy,heron,0,h/b,,,,
63,109,"shand,john",philosophy and philosophers,philosophy,penguin,1994,p/b,,,,
64,172,"walzer,michael",just and unjust wars,philosophy/military/history,pelican,1978,p/b,,,,
68,133.1,"hole,christina",haunted england,paranormal/ghosts/englandl,fitzhouse,1990,h/b+wrapper,,,,
69,133.3,"levine,roz",palmistry,paranormal/divination,smart,1999,p/b,,,,
70,133.4,"hughes,pennethorne",witchcraft,paranormal/witchcraft,penguin,1965,p/b,,,,
76,150,"adcock,c.j",fundamentals of psychology,psychology,pelican,1964,p/b,,,,
78,150.1,"freud,sigmund",new introductory lectures on psychoanalysis,psychology,pelican,1977,p/b,,,,
79,150.1,"freud,sigmund/breur,joseph",studies of hysteria,psychology,pelican,1974,p/b,,,,
81,150.1,"james,d.e",introduction to psychology,psychology,granada,1970,p/b,,,,
82,150.1,"joshi,mary sissons",a reader in cross-cultural psychology,psychology,oxford polytechnic,1992,binder,workbook for module 7713,,,
88,152,"adler,alfred",understanding human nature,psychology,oneworld,1992,p/b,,,,
89,152,"blakemore,colin",the mind machine,psychology,bbc,1991,p/b,,,,
96,155,"harding,m.esther",the way of all women,psychology,rider,1980,p/b,,,,
97,152,"haughton,emma",dealing with stress,psychology,wayland,1995,h/b,,,,
